name,price,change,change%,high,low
聯邦全球高息策略基金-A不配息(台幣)(本基金之配息來源可能為本金),21.0200,0.2100,0.43,28.7100,10.0700
國泰全球環保趨勢基金(台幣),35.3000,0.0800,0.38,28.6000,12.8200
柏瑞特別股息收益基金B月配息(台幣)(本基金配息來源可能為本金),16.3300,0.1050,0.32,56.0700,17.3400
合庫全球高股息基金-B配息(台幣)(本基金之配息來源可能為本金),24.2630,0.0900,0.23,21.5200,18.7900
柏瑞特別股息收益基金N月配息(美元)(本基金配息來源可能為本金),23.8500,0.0800,0.16,31.0300,29.7600
柏瑞特別股息收益基金B月配息(澳幣)(本基金配息來源可能為本金),24.9200,0.1200,0.13,15.2600,8.5500
柏瑞特別股息收益基金N月配息(澳幣)(本基金配息來源可能為本金),52.6600,0.0300,0.00,22.4600,19.8100
柏瑞特別股息收益基金B月配息(美元)(本基金配息來源可能為本金),19.1900,0.0400,0.00,41.6700,13.5800
柏瑞特別股息收益基金A不配息(台幣),30.0200,0.0000,0.00,45.9800,50.0700
柏瑞特別股息收益基金B月配息(人民幣)(本基金配息來源可能為本金),14.7200,0.0000,15.3800,33.1900,17.9000
富蘭克林華美全球醫療保健基金(台幣),20.6300,0.0000,55.6100,10.2500,8.6700
富蘭克林華美全球醫療保健基金(美元),31.4600,51.5200,8.9100,45.5800,49.2000
日盛全球抗暖化基金,49.0600,52.4500,13.5800,0.65,12.87
柏瑞特別股息收益基金A不配息(美元),28.5800,17.4600,0.08,0.44,17.01
合庫全球高股息基金-A不配息(台幣)(本基金之配息來源可能為本金),20.4200,40.5900,0.07,0.33,57.14
瀚亞全球策略收益股票基金A不配息(台幣)(本基金配息來源可能為本金),40.2400,12.40,0.18,0.29,34.52
凱基銀髮商機基金(台幣),17.1200,16.06,0.09,0.20,21.18
瀚亞全球策略收益股票基金B配息(美元)(本基金配息來源可能為本金),3.88,54.64,0.04,0.20,11.23
國泰全球高股息基金(台幣),3.26,30.79,0.02,0.15,21.46
合庫全球高股息基金-B配息(美元)(本基金之配息來源可能為本金),7.73,20.11,0.03,0.13,45.12
第一金全球FinTech金融科技基金(美元),5.70,10.21,0.05,0.13,19.81
新光全球生技醫療基金(美元),7.70,19.92,0.02,0.12,24.00
合庫全球高股息基金-A不配息(美元)(本基金之配息來源可能為本金),2.67,37.18,0.02,0.08,36.05
